group,source,factor_id,name,expression,adj_type
alpha101,alpha101,a101_001,Alpha101_短期极端情绪时点,"(CSRank(IdxMax((Sign(If((($close/Ref($close, 1)-1) < 0), Std(($close/Ref($close, 1)-1), 20), $close))*Abs(If((($close/Ref($close, 1)-1) < 0), Std(($close/Ref($close, 1)-1), 20), $close))**2), 5)) - 0.5)",前复权
alpha101,alpha101,a101_002,Alpha101_量变与日内收益反转,"(-1*Corr(CSRank((Log($vol) - Ref(Log($vol), 2))), CSRank((($close - $open) / $open)), 6))",前复权
alpha101,alpha101,a101_003,Alpha101_开盘量价背离,"(-1*Corr(CSRank($open), CSRank($vol), 10))",前复权
alpha101,alpha101,a101_004,Alpha101_最低价时序反转,"(-1*Rank(CSRank($low), 9))",前复权
alpha101,alpha101,a101_005,Alpha101_VWAP偏离与日内反转,"(CSRank(($open - (Sum(($amount / $vol), 10) / 10)))*(-1*Abs(CSRank(($close - ($amount / $vol))))))",前复权
alpha101,alpha101,a101_006,Alpha101_开盘量价相关反转,"(-1*Corr($open, $vol, 10))",前复权
alpha101,alpha101,a101_007,Alpha101_放量衰竭反转,"If((Mean($vol, 20) < $vol), ((-1*Rank(Abs(($close - Ref($close, 7))), 60))*Sign(($close - Ref($close, 7)))), (-1*1))",前复权
alpha101,alpha101,a101_008,Alpha101_加权动量加速反转,"(-1*CSRank(((Sum($open, 5)*Sum(($close/Ref($close, 1)-1), 5)) - Ref((Sum($open, 5)*Sum(($close/Ref($close, 1)-1), 5)), 10))))",前复权
alpha101,alpha101,a101_009,Alpha101_连涨连跌动量切换,"If((0 < Min(($close - Ref($close, 1)), 5)), ($close - Ref($close, 1)), If((Max(($close - Ref($close, 1)), 5) < 0), ($close - Ref($close, 1)), (-1*($close - Ref($close, 1)))))",前复权
alpha101,alpha101,a101_010,Alpha101_4日动量反转切换,"CSRank(If((0 < Min(($close - Ref($close, 1)), 4)), ($close - Ref($close, 1)), If((Max(($close - Ref($close, 1)), 4) < 0), ($close - Ref($close, 1)), (-1*($close - Ref($close, 1))))))",前复权
alpha101,alpha101,a101_011,Alpha101_尾盘放量弱势,"((CSRank(Max((($amount / $vol) - $close), 3)) + CSRank(Min((($amount / $vol) - $close), 3)))*CSRank(($vol - Ref($vol, 3))))",前复权
alpha101,alpha101,a101_012,Alpha101_放量涨跌反转,"(Sign(($vol - Ref($vol, 1)))*(-1 * ($close - Ref($close, 1))))",前复权
alpha101,alpha101,a101_013,Alpha101_价量协方差反转,"(-1*CSRank(Cov(CSRank($close), CSRank($vol), 5)))",前复权
alpha101,alpha101,a101_014,Alpha101_收益加速与量价条件,"((-1*CSRank((($close/Ref($close, 1)-1) - Ref(($close/Ref($close, 1)-1), 3))))*Corr($open, $vol, 10))",前复权
alpha101,alpha101,a101_015,Alpha101_最高价放量共振反转,"(-1*Sum(CSRank(Corr(CSRank($high), CSRank($vol), 3)), 3))",前复权
alpha101,alpha101,a101_016,Alpha101_高价量价协方差反转,"(-1*CSRank(Cov(CSRank($high), CSRank($vol), 5)))",前复权
alpha101,alpha101,a101_017,Alpha101_高位放量赶顶反转,"(((-1*CSRank(Rank($close, 10)))*CSRank((($close - Ref($close, 1)) - Ref(($close - Ref($close, 1)), 1))))*CSRank(Rank(($vol / Mean($vol, 20)), 5)))",前复权
alpha101,alpha101,a101_018,Alpha101_波动率日内反转,"(-1*CSRank(((Std(Abs(($close - $open)), 5) + ($close - $open)) + Corr($close, $open, 10))))",前复权
alpha101,alpha101,a101_019,Alpha101_长短期动量复合,"((-1*Sign((($close - Ref($close, 7)) + ($close - Ref($close, 7)))))*(1 + CSRank((1 + Sum(($close/Ref($close, 1)-1), 250)))))",前复权
alpha101,alpha101,a101_020,Alpha101_隔夜跳空均值回复,"(((-1*CSRank(($open - Ref($high, 1))))*CSRank(($open - Ref($close, 1))))* CSRank(($open - Ref($low, 1))))",前复权
alpha101,alpha101,a101_021,Alpha101_价格回归与量状态,"If((((Sum($close, 8) / 8) + Std($close, 8)) < (Sum($close, 2) / 2)), (-1* 1), If(((Sum($close, 2) / 2) < ((Sum($close, 8) / 8) - Std($close, 8))), 1, If(((1 < ($vol / Mean($vol, 20))) | (($vol / Mean($vol, 20)) == 1)), 1, (-1* 1))))",前复权
alpha101,alpha101,a101_022,Alpha101_波动率加权情绪反转,"(-1* ((Corr($high, $vol, 5) - Ref(Corr($high, $vol, 5), 5))* CSRank(Std($close, 20))))",前复权
alpha101,alpha101,a101_023,Alpha101_趋势过滤均值回归,"If(((Sum($high, 20) / 20) < $high), (-1* ($high - Ref($high, 2))), 0)",前复权
alpha101,alpha101,a101_024,Alpha101_条件均值回复切换,"If((((((Sum($close, 100) / 100) - Ref((Sum($close, 100) / 100), 100)) / Ref($close, 100)) < 0.05) | ((((Sum($close, 100) / 100) - Ref((Sum($close, 100) / 100), 100)) / Ref($close, 100)) == 0.05)), (-1* ($close - Min($close, 100))), (-1* ($close - Ref($close, 3))))",前复权
alpha101,alpha101,a101_025,Alpha101_卖压流动性反转,"CSRank(((((-1* ($close/Ref($close, 1)-1))* Mean($vol, 20))* ($amount / $vol))* ($high - $close)))",前复权
alpha101,alpha101,a101_026,Alpha101_量价均值回归,"(-1* Max(Corr(Rank($vol, 5), Rank($high, 5), 5), 3))",前复权
alpha101,alpha101,a101_027,Alpha101_短期量价均值回复,"If((0.5 < CSRank((Sum(Corr(CSRank($vol), CSRank(($amount / $vol)), 6), 2) / 2.0))), (-1* 1), 1)",前复权
alpha101,alpha101,a101_028,Alpha101_量价动态复合,"((Corr(Mean($vol, 20), $low, 5) + (($high + $low) / 2)) - $close)",前复权
alpha101,alpha101,a101_029,Alpha101_超跌反弹,"(Less(Product(CSRank(CSRank(Log(Sum(Min(CSRank(CSRank((-1*CSRank((($close - 1) - Ref(($close - 1), 5)))))), 2), 1)))), 1), 5) + Rank(Ref((-1*($close/Ref($close, 1)-1)), 6), 5))",前复权
alpha101,alpha101,a101_030,Alpha101_成交量确认均值回归,"(((1.0 - CSRank(((Sign(($close - Ref($close, 1))) + Sign((Ref($close, 1) - Ref($close, 2)))) + Sign((Ref($close, 2) - Ref($close, 3))))))* Sum($vol, 5)) / Sum($vol, 20))",前复权
alpha101,alpha101,a101_031,Alpha101_反转与量价背离综合,"((CSRank(CSRank(CSRank(DecayLinear((-1* CSRank(CSRank(($close - Ref($close, 10))))), 10)))) + CSRank((-1* ($close - Ref($close, 3))))) + Sign(Corr(Mean($vol, 20), $low, 12)))",前复权
alpha101,alpha101,a101_032,Alpha101_短期反转与长期动量,"(((Sum($close, 7) / 7) - $close) + (20* Corr(($amount / $vol), Ref($close, 5), 230)))",前复权
alpha101,alpha101,a101_033,Alpha101_日内反转,CSRank((-1* ((1 - ($open / $close))**1))),前复权
alpha101,alpha101,a101_034,Alpha101_波动收敛与短期反转,"CSRank(((1 - CSRank((Std(($close/Ref($close, 1)-1), 2) / Std(($close/Ref($close, 1)-1), 5)))) + (1 - CSRank(($close - Ref($close, 1))))))",前复权
alpha101,alpha101,a101_035,Alpha101_底部放量滞跌反转,"((Rank($vol, 32)* (1 - Rank((($close + $high) - $low), 16)))* (1 - Rank(($close/Ref($close, 1)-1), 32)))",前复权
alpha101,alpha101,a101_036,Alpha101_综合动量反转,"(((((2* CSRank(Corr(($close - $open), Ref($vol, 1), 15))) + (0.7* CSRank(($open - $close)))) + (0.73* CSRank(Rank(Ref((-1* ($close/Ref($close, 1)-1)), 6), 5)))) + CSRank(Abs(Corr(($amount / $vol), Mean($vol, 20), 6)))) + (0.6* CSRank((((Sum($close, 200) / 200) - $open)* ($close - $open)))))",前复权
alpha101,alpha101,a101_037,Alpha101_趋势识别条件反转,"(CSRank(Corr(Ref(($open - $close), 1), $close, 200)) + CSRank(($open - $close)))",前复权
alpha101,alpha101,a101_038,Alpha101_双重反转,"((-1* CSRank(Rank($close, 10)))* CSRank(($close / $open)))",前复权
alpha101,alpha101,a101_039,Alpha101_量价反转与长期动量,"((-1* CSRank((($close - Ref($close, 7))* (1 - CSRank(DecayLinear(($vol / Mean($vol, 20)), 9))))))* (1 + CSRank(Sum(($close/Ref($close, 1)-1), 250))))",前复权
alpha101,alpha101,a101_040,Alpha101_波动率惩罚量价反转,"((-1* CSRank(Std($high, 10)))* Corr($high, $vol, 10))",前复权
alpha101,alpha101,a101_041,Alpha101_价量背离,((($high* $low)**0.5) - ($amount / $vol)),前复权
alpha101,alpha101,a101_042,Alpha101_日内微观结构,(CSRank((($amount / $vol) - $close)) / CSRank((($amount / $vol) + $close))),前复权
alpha101,alpha101,a101_043,Alpha101_放量暴跌反转,"(Rank(($vol / Mean($vol, 20)), 20)* Rank((-1* ($close - Ref($close, 7))), 8))",前复权
alpha101,alpha101,a101_044,Alpha101_短期量价均值回复,"(-1* Corr($high, CSRank($vol), 5))",前复权
alpha101,alpha101,a101_045,Alpha101_短期量价均值回归,"(-1* ((CSRank((Sum(Ref($close, 5), 20) / 20))* Corr($close, $vol, 2))* CSRank(Corr(Sum($close, 5), Sum($close, 20), 2))))",前复权
alpha101,alpha101,a101_046,Alpha101_非线性均值回归,"If((0.25 < (((Ref($close, 20) - Ref($close, 10)) / 10) - ((Ref($close, 10) - $close) / 10))), (-1* 1), If(((((Ref($close, 20) - Ref($close, 10)) / 10) - ((Ref($close, 10) - $close) / 10)) < 0), 1, ((-1* 1)* ($close - Ref($close, 1)))))",前复权
alpha101,alpha101,a101_047,Alpha101_短期动量波动率反转,"((((CSRank((1 / $close))* $vol) / Mean($vol, 20))* (($high* CSRank(($high - $close))) / (Sum($high, 5) / 5))) - CSRank((($amount / $vol) - Ref(($amount / $vol), 5))))",前复权
alpha101,alpha101,a101_048,Alpha101_微观自相关反转,"(((Corr(($close - Ref($close, 1)), (Ref($close, 1) - Ref(Ref($close, 1), 1)), 250)* ($close - Ref($close, 1))) / $close) / Sum(((($close - Ref($close, 1)) / Ref($close, 1))**2), 250))",前复权
alpha101,alpha101,a101_049,Alpha101_中期短期条件切换,"If(((((Ref($close, 20) - Ref($close, 10)) / 10) - ((Ref($close, 10) - $close) / 10)) < (-1* 0.1)), 1, ((-1* 1)* ($close - Ref($close, 1))))",前复权
alpha101,alpha101,a101_050,Alpha101_量价极值反转,"(-1* Max(CSRank(Corr(CSRank($vol), CSRank(($amount / $vol)), 5)), 5))",前复权
alpha101,alpha101,a101_051,Alpha101_状态识别条件反转,"If(((((Ref($close, 20) - Ref($close, 10)) / 10) - ((Ref($close, 10) - $close) / 10)) < (-1* 0.05)), 1, ((-1* 1)* ($close - Ref($close, 1))))",前复权
alpha101,alpha101,a101_052,Alpha101_动量反转量价复合,"((((-1* Min($low, 5)) + Ref(Min($low, 5), 5))* CSRank(((Sum(($close/Ref($close, 1)-1), 240) - Sum(($close/Ref($close, 1)-1), 20)) / 220)))* Rank($vol, 5))",前复权
alpha101,alpha101,a101_053,Alpha101_价格结构情绪反转,"(-1* (((($close - $low) - ($high - $close)) / ($close - $low)) - Ref(((($close - $low) - ($high - $close)) / ($close - $low)), 9)))",前复权
alpha101,alpha101,a101_054,Alpha101_多空博弈日内动量,((-1* (($low - $close)* ($open**5))) / (($low - $high)* ($close**5))),前复权
alpha101,alpha101,a101_055,Alpha101_短期量价背离反转,"(-1* Corr(CSRank((($close - Min($low, 12)) / (Max($high, 12) - Min($low, 12)))), CSRank($vol), 6))",前复权
alpha101,alpha101,a101_056,Alpha101_期限结构量价反转,"(0 - (1* (CSRank((Sum(($close/Ref($close, 1)-1), 10) / Sum(Sum(($close/Ref($close, 1)-1), 2), 3)))* CSRank((($close/Ref($close, 1)-1)* $total_mv)))))",不复权
alpha101,alpha101,a101_057,Alpha101_日内反转与趋势复合,"(0 - (1* (($close - ($amount / $vol)) / DecayLinear(CSRank(IdxMax($close, 30)), 2))))",前复权
alpha101,alpha101,a101_058,Alpha101_行业中性量价反转,"(-1* Rank(DecayLinear(Corr(($amount / $vol), $vol, 4), 8), 6))",前复权
alpha101,alpha101,a101_059,Alpha101_短期量价均值回归2,"(-1* Rank(DecayLinear(Corr(((($amount / $vol)* 0.728317) + (($amount / $vol)* (1 - 0.728317))), $vol, 4), 16), 8))",前复权
alpha101,alpha101,a101_060,Alpha101_短期动量日内回归,"(0 - (1* ((2* CSRank((((($close - $low) - ($high - $close)) / ($high - $low))* $vol))) - CSRank(IdxMax($close, 10)))))",前复权
alpha101,alpha101,a101_061,Alpha101_量价背离条件触发,"(CSRank((($amount / $vol) - Min(($amount / $vol), 16))) < CSRank(Corr(($amount / $vol), Mean($vol, 180), 18)))",前复权
alpha101,alpha101,a101_062,Alpha101_量价背离日内反转,"((CSRank(Corr(($amount / $vol), Sum(Mean($vol, 20), 22), 10)) < CSRank(((CSRank($open) + CSRank($open)) < (CSRank((($high + $low) / 2)) + CSRank($high)))))*-1)",前复权
alpha101,alpha101,a101_063,Alpha101_流动性均值回归复合,"((CSRank(DecayLinear(($close - Ref($close, 2)), 8)) - CSRank(DecayLinear(Corr(((($amount / $vol)* 0.318108) + ($open* (1 - 0.318108))), Sum(Mean($vol, 180), 37), 14), 12)))* -1)",前复权
alpha101,alpha101,a101_064,Alpha101_量价背离做空信号,"((CSRank(Corr(Sum((($open* 0.178404) + ($low* (1 - 0.178404))), 13), Sum(Mean($vol, 120), 13), 17)) < CSRank(((((($high + $low) / 2)* 0.178404) + (($amount / $vol)* (1 - 0.178404))) - Ref((((($high + $low) / 2)* 0.178404) + (($amount / $vol)* (1 - 0.178404))), 4))))* -1)",前复权
alpha101,alpha101,a101_065,Alpha101_短期反转做空信号,"((CSRank(Corr((($open* 0.00817205) + (($amount / $vol)* (1 - 0.00817205))), Sum(Mean($vol, 60), 9), 6)) < CSRank(($open - Min($open, 14))))* -1)",前复权
